Country,ISONum,ISOAlph,Subregion,SDG,Geographic,UNFPAGroup,UNFPATotal,Global
Afghanistan,4,AFG,Southern Asia,Central and Southern Asia,Asia,Asia & the Pacific,UNFPA Country,Globe
Albania,8,ALB,Southern Europe,Europe and Northern America,Europe,Eastern Europe & Central Asia,UNFPA Country,Globe
Algeria,12,DZA,Northern Africa,Northern Africa and Western Asia,Africa,Arab States,UNFPA Country,Globe
American Samoa,16,ASM,Polynesia,Oceania (excluding Australia and New Zealand),Oceania,Asia & the Pacific,UNFPA Country,Globe
Andorra,20,AND,Southern Europe,Europe and Northern America,Europe,Non-UNFPA Country,Non-UNFPA Country,Globe
Angola,24,AGO,Middle Africa,Sub-Saharan Africa,Africa,East & Southern Africa,UNFPA Country,Globe
Antigua and Barbuda,28,ATG,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
Azerbaijan,31,AZE,Western Asia,Northern Africa and Western Asia,Asia,Eastern Europe & Central Asia,UNFPA Country,Globe
Argentina,32,ARG,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
Australia,36,AUS,Australia/New Zealand,Australia/New Zealand,Oceania,Non-UNFPA Country,Non-UNFPA Country,Globe
Austria,40,AUT,Western Europe,Europe and Northern America,Europe,Non-UNFPA Country,Non-UNFPA Country,Globe
Bahamas,44,BHS,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
Bahrain,48,BHR,Western Asia,Northern Africa and Western Asia,Asia,Arab States,UNFPA Country,Globe
Bangladesh,50,BGD,Southern Asia,Central and Southern Asia,Asia,Asia & the Pacific,UNFPA Country,Globe
Armenia,51,ARM,Western Asia,Northern Africa and Western Asia,Asia,Eastern Europe & Central Asia,UNFPA Country,Globe
Barbados,52,BRB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
Belgium,56,BEL,Western Europe,Europe and Northern America,Europe,Non-UNFPA Country,Non-UNFPA Country,Globe
Bermuda,60,BMU,Northern America,Europe and Northern America,Northern America,Latin America & the Caribbean,UNFPA Country,Globe
Bhutan,64,BTN,Southern Asia,Central and Southern Asia,Asia,Asia & the Pacific,UNFPA Country,Globe
Bolivia (Plurinational State of),68,BOL,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
Bosnia and Herzegovina,70,BIH,Southern Europe,Europe and Northern America,Europe,Eastern Europe & Central Asia,UNFPA Country,Globe
Botswana,72,BWA,Southern Africa,Sub-Saharan Africa,Africa,East & Southern Africa,UNFPA Country,Globe
Brazil,76,BRA,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
Belize,84,BLZ,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
Solomon Islands,90,SLB,Melanesia,Oceania (excluding Australia and New Zealand),Oceania,Asia & the Pacific,UNFPA Country,Globe
British Virgin Islands,92,VGB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
Brunei Darussalam,96,BRN,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,Non-UNFPA Country,Non-UNFPA Country,Globe
Bulgaria,100,BGR,Eastern Europe,Europe and Northern America,Europe,Non-UNFPA Country,Non-UNFPA Country,Globe
Myanmar,104,MMR,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,Asia & the Pacific,UNFPA Country,Globe
Burundi,108,BDI,Eastern Africa,Sub-Saharan Africa,Africa,East & Southern Africa,UNFPA Country,Globe
Belarus,112,BLR,Eastern Europe,Europe and Northern America,Europe,Eastern Europe & Central Asia,UNFPA Country,Globe
Cambodia,116,KHM,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,Asia & the Pacific,UNFPA Country,Globe
Cameroon,120,CMR,Middle Africa,Sub-Saharan Africa,Africa,West & Central Africa,UNFPA Country,Globe
Canada,124,CAN,Northern America,Europe and Northern America,Northern America,Non-UNFPA Country,Non-UNFPA Country,Globe
Cabo Verde,132,CPV,Western Africa,Sub-Saharan Africa,Africa,West & Central Africa,UNFPA Country,Globe
Cayman Islands,136,CYM,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
Central African Republic,140,CAF,Middle Africa,Sub-Saharan Africa,Africa,West & Central Africa,UNFPA Country,Globe
Sri Lanka,144,LKA,Southern Asia,Central and Southern Asia,Asia,Asia & the Pacific,UNFPA Country,Globe
Chad,148,TCD,Middle Africa,Sub-Saharan Africa,Africa,West & Central Africa,UNFPA Country,Globe
Chile,152,CHL,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
China,156,CHN,Eastern Asia,Eastern and South-Eastern Asia,Asia,Asia & the Pacific,UNFPA Country,Globe
"China, Taiwan Province of China",158,TWN,Eastern Asia,Eastern and South-Eastern Asia,Asia,Non-UNFPA Country,Non-UNFPA Country,Globe
Colombia,170,COL,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America & the Caribbean,UNFPA Country,Globe
