"ISONum","SH_LGR_ACSRHES1","SH_LGR_ACSRHES1_Year","SH_LGR_ACSRHES2","SH_LGR_ACSRHES2_Year","SH_LGR_ACSRHES3","SH_LGR_ACSRHES3_Year","SH_LGR_ACSRHES4","SH_LGR_ACSRHES4_Year","CollectData","ProviderDisc","HIVKnow_w_1524","HIVKnow_w_Year","HIVKnow_m_1524","HIVKnow_m_Year","knows_ltm_stm_w","knows_ltm_stm_w_Year","knows_ltm_stm_m","knows_ltm_stm_m_Year","fert_know_w","fert_know_w_Year","fert_know_m","fert_know_m_Year","DS_1524","DS_Year","HIV","HIV_Year","ASFR15","ASFR15_Year","SH_STA_MORT","SH_STA_MORT_Year","UpperSec_Both","UpperSec_Female","UpperSec_Male","UpperSec_Year","Res_Civil","Res_Civil_Year","SP_DYN_MRBF18","SP_DYN_MRBF18_Year","violence_w_1524","Violence_Year","Educ_GDP","Educ_GDP_Year","SE.SEC.ENRR","SE.SEC.ENRR_Year","gwp1_n_5","gwp1_n_5_Year","gwp2_n_5","gwp2_n_5_Year","SL_CPA_YEMP","SL_CPA_YEMP_Label","SL_CPA_YEMP_Year","account_t_d_5","account_t_d_5_Year","account_t_d_6","account_t_d_6_Year","SL_TLF_NEET_Both","SL_TLF_NEET_Year","BetterOff","BetterOff_Year","WorkPov","WorkPov_Year","YouthPolicy","YouthPolicy_Num","YouthPolicy_Year","Vote_National","Vote_National_Year","active_member","active_member_Year","Parliament30","Parliament30_Year","INFORM","INFORM_Year","pol_part","pol_part_Year","humanrights","humanrights_Year","Displacement","Displacement_Year","InterViolence","InterViolence_Year","SelfHarm","SelfHarm_Year"
4,"73",2019,"37",2019,"0",2019,"75",2019,"17.592592592592595","50.427350427350426",1,2015,6.3,2015,0.677710894891725,2015,0.60378900373655,2015,0.0726612627760175,2015,0.0602827793530251,2015,,,0.05,2019,68.956982016,"2015-2020",638,2017,"24.07906","14.99005","33.52122","2015",0.381,2019,"28.3",2017,43.3,2015,3.21377992630005,2019,55.4252090454102,2018,64.77529,2017,18.33455,2017,"1","The country is in the process of developing a national strategy for youth employment",2020,14.44361,2017,15.94783,2017,"42.0",2017,,,40.95,2019,"Yes",1,2021,,,,,5.65,2020,8.2,2021,,,,,0.130145276919001,"2020",13.3659414199053,2019,3.17956247261626,2019
8,"82",2019,"85",2019,"100",2019,"70",2019,,,35.1,2017,20.1,2017,0.771120238102284,2017,0.507889694409371,2017,0.201160813975897,2017,0.0695617672989179,2017,6.2,2017,0.02,2019,19.642014,"2015-2020",15,2017,"80.31211","81.86749","78.93646","2017",0.134,2019,"11.8",2018,,,3.94576001167297,2019,94.2803268432617,2020,86.04408,2017,75.53036,2017,,,,40.40283,2017,42.31193,2017,"25.8",2019,,,0.66,2019,"Yes",1,2021,,,,,4.1,2020,2.9,2021,,,,,0.00189155107187894,"2020",1.93473034887255,2019,5.31935543068865,2019
24,"65",2019,"100",2019,"0",2019,"75",2019,,,32.5,2015,31.6,2015,0.528336117935156,2015,0.48605407788473,2015,0.136160745743872,2015,0.0511487503317228,2015,31.6,2015,1.52,2019,150.52599,"2015-2020",241,2017,"18.81837","15.30444","23.66139","2015",,,"30.3",2016,30.4,2015,1.82117998600006,2019,50.6714782714844,2016,,,,,,,,25.73389,2014,42.06072,2014,"10.0",2011,,,53.11,2019,"Yes",1,2021,,,,,0.56,2020,5.1,2021,,,,,0.000747459326460801,"2020",3.58151408106701,2019,3.48618062141903,2019
51,"94",2019,"93",2019,"100",2019,"70",2019,"34.074074074074069","33.333333333333329",20.2,2016,12.5,2016,0.749486439171068,2015,0.668203413913007,2015,0.2562672248681,2015,0.107831154782151,2015,37.1,2016,0.06,2019,21.490003566,"2015-2020",26,2017,"64.70735","73.71661","55.45558","2016",0.194,2019,"5.3",2016,0.7,2016,2.70476007461548,2020,87.250358581543,2020,90.81364,2017,80.84227,2017,"1","The country is in the process of developing a national strategy for youth employment",2020,48.46688,2017,49.10369,2017,"31.1",2018,,,0.45,2019,"Yes",1,2021,0.586563128337116,2011,0.0207518398196835,2011,12.12,2020,5.1,2021,0.0969854044462404,2011,0.26647226272375,2011,0.00225862891681247,"2020",2.92092910110124,2019,3.85922343861831,2019
52,"63",2019,"20",2019,"0",2019,"65",2019,,,,,,,,,,,,,,,,,0.15,2019,33.5500056,"2015-2020",27,2017,"94.18844","97.06369","91.44076","2012",,,"29.2",2012,,,4.29515981674194,2020,104.022521972656,2020,,,,,"1","The country is in the process of developing a national strategy for youth employment",2020,,,,,,,,,0.03,2019,"Yes",1,2021,,,,,,,1.9,2021,,,,,0,"2020",11.6510950832053,2019,2.03728731585932,2019
112,"90",2019,"100",2019,"100",2019,"69",2019,,,,,,,,,,,,,,,,,0.17,2019,14.506996788,"2015-2020",2,2017,"90.03093","92.63654","87.67541","2012",0.205,2019,"5.0",2019,,,4.95244979858398,2020,102.439529418945,2018,99.27022,2017,96.91766,2017,"2","The country has developed and adopted a national strategy for youth employment",2020,79.7785,2017,92.95989,2017,"12.1",2009,,,0.16,2019,"Yes",1,2021,0.682925247918786,2011,0.0909848915707329,2011,1.82,2020,1.9,2021,,,0.648143040467486,2011,0.000101569797495216,"2020",2.57433690992118,2019,9.02310125059038,2019
84,"50",2019,"0",2019,"50",2019,"60",2019,,,,,,,,,,,,,,,,,,,68.4870032,"2015-2020",36,2017,"49.44114","50.95563","47.79497","2016",,,"33.5",2016,,,7.94095993041992,2020,85.2463226318359,2020,,,,,"1","The country is in the process of developing a national strategy for youth employment",2020,46.85922,2014,51.12081,2014,"27.3",2017,,,11.42,2019,"Yes",1,2021,,,,,,,4.1,2021,,,,,0,"2020",25.8663638033859,2019,3.9030929138445,2019
204,"88",2019,"77",2019,"100",2019,"100",2019,,,15,2017,18.6,2017,0.768229653579834,2017,0.593893924444139,2017,0.253882336941575,2017,0.151291050879906,2017,27,2017,0.47,2019,86.09604795,"2015-2020",397,2017,"8.39175","5.38436","12.07862","2018",0.533,2019,"30.6",2018,27,2017,2.96519994735718,2019,47.5018310546875,2020,72.48994,2017,24.50346,2017,"2","The country has developed and adopted a national strategy for youth employment",2020,36.20175,2017,44.64325,2017,"17.2",2011,,,44.43,2019,"Yes",1,2021,,,,,0,2020,4.3,2021,,,,,0.0000108037251244229,"2020",5.90439353248189,2019,3.31120891414875,2019
854,"69",2019,"52",2019,"75",2019,"90",2019,"60.185185185185183","15.384615384615383",31.1,2010,35.7,2010,0.739150090239654,2010,0.504430192950626,2010,0.341196013711852,2010,0.241967967249569,2010,42.2,2010,0.2,2019,104.32897949,"2015-2020",320,2017,"3.85679","2.29766","6.18221","2010",0.138,2019,"51.6",2010,21,2010,5.78548002243042,2019,40.5629386901855,2020,71.92796,2017,20.44627,2017,"2","The country has developed and adopted a national strategy for youth employment",2020,44.10942,2017,43.74021,2017,"41.0",2018,,,34.58,2019,"Yes",1,2021,,,,,,,6.5,2021,,,,,0.000451117915206381,"2020",6.39373341929472,2019,3.5429990759283,2019
108,"79",2019,"38",2019,"50",2019,"75",2019,"58.119658119658119","31.746031746031747",52.4,2016,54.9,2016,0.895380307215003,2016,0.79105691213349,2016,0.208134033704802,2016,0.0918424641009409,2016,48.8,2016,0.18,2019,55.59,"2015-2020",548,2017,"12.38276","11.36293","13.52155","2017",,,"19.0",2017,32.9,2016,5.07864999771118,2018,45.091251373291,2019,,,,,,,,7.674052,2014,5.94801,2014,"6.2",2017,,,78.81,2019,"Yes",1,2021,,,,,,,6,2021,,,,,0.0350821596821912,"2020",1.20056100880602,2019,4.27282251312555,2019
