"ISONum","Res_Civil","Res_Civil_Year"
208,0.11,2019
752,0.162,2019
250,0.053,2019
620,0.114,2019
56,0.103,2019
40,0.121,2019
705,0.132,2019
380,0.089,2019
233,0.215,2019
724,0.058,2019
578,0.195,2019
170,0.206,2019
276,0.143,2019
246,0.183,2019
440,0.197,2019
36,0.236,2019
528,0.211,2019
703,0.244,2019
642,0.221,2019
554,0.22,2019
372,0.118,2019
616,0.125,2019
826,0.067,2019
428,0.277,2019
840,0.229,2019
807,0.152,2019
214,0.112,2019
124,0.235,2019
558,0.062,2019
191,0.179,2019
688,0.18,2019
203,0.263,2019
496,0.229,2019
112,0.205,2019
804,0.287,2019
76,0.239,2019
344,0.267,2019
498,0.11,2019
68,0.127,2019
470,0.263,2019
70,0.171,2019
858,0.228,2019
643,0.315,2019
340,0.153,2019
710,0.21,2019
398,0.218,2019
8,0.134,2019
222,0.178,2019
417,0.18,2019
410,0.204,2019
100,0.201,2019
780,0.285,2019
392,0.248,2019
508,0.329,2019
604,0.129,2019
388,0.229,2019
268,0.187,2019
792,0.2,2019
704,0.138,2019
348,0.276,2019
702,0.492,2019
300,0.166,2019
516,0.351,2019
646,0.235,2019
51,0.194,2019
188,0.105,2019
196,0.367,2019
320,0.434,2019
31,0.214,2019
218,0.151,2019
484,0.146,2019
116,0.409,2019
231,0.179,2019
762,0.251,2019
716,0.309,2019
854,0.138,2019
600,0.298,2019
356,0.212,2019
288,0.227,2019
894,0.418,2019
764,0.568,2019
404,0.172,2019
152,0.166,2019
524,0.402,2019
686,0.036,2019
426,0.376,2019
180,0.207,2019
204,0.533,2019
332,0.591,2019
266,0.256,2019
454,0.619,2019
360,0.404,2019
104,0.549,2019
384,0.204,2019
144,0.286,2019
140,0.542,2019
800,0.266,2019
148,0.272,2019
566,0.539,2019
466,0.289,2019
834,0.352,2019
430,0.528,2019
450,0.594,2019
694,0.409,2019
788,0.528,2019
768,0.62,2019
504,0.593,2019
120,0.454,2019
608,0.451,2019
4,0.381,2019
368,0.515,2019
50,0.475,2019
422,0.621,2019
324,0.444,2019
400,0.631,2019
364,0.751,2019
586,0.531,2019
887,0.758,2019
756,0.065,2019
32,0.071,2019
72,0.524,2019
178,0.583,2019
12,0.613,2019
270,0.484,2019
376,0.384,2019
352,0.174,2019
442,0.081,2019
499,0.137,2019
478,0.522,2019
480,0.407,2019
562,0.256,2019
591,0.178,2019
275,0.594,2019
728,0.232,2019
158,0.159,2019
860,0.235,2019
862,0.146,2019
