"ISONum","Vote_National","Vote_National_Year"
12,0.418300653594771,2014
31,0.431030242282311,2011
51,0.586563128337116,2011
112,0.682925247918786,2011
156,0.121713653705571,2013
233,0.658422834229651,2011
268,0.730994152046784,2014
275,0.722943722943723,2013
288,0.566371348258207,2012
332,0.357864357864358,2016
356,0.86374695863747,2012
414,0.429447852760736,2014
434,0.700658275050393,2014
504,0.159090909090909,2011
528,0.869158878504673,2012
616,0.777295476272668,2012
634,0.5644942188211,2010
646,0.846666666666667,2012
705,0.806122448979592,2011
710,0.479638456547917,2013
724,0.605028248960297,2011
752,0.837696663428805,2011
780,0.708029197080292,2010
858,0.666666666666667,2011
860,0.646586345381526,2011
887,0.527777777777778,2014
20,0.483516483516484,2018
32,0.779006718783051,2017
36,0.784813721484816,2018
50,0.754310344827586,2018
68,0.735470941883767,2017
76,0.589919214133766,2018
104,0.133663366336634,2020
124,0.73337456155515,2020
152,0.346501830229849,2018
158,0.422132954213987,2019
170,0.742465753424657,2018
196,0.513949736172807,2019
218,0.960159362549801,2018
231,0.3046875,2020
276,0.8,2018
300,0.798205088460223,2017
320,0.831533477321814,2020
344,0.586219941469384,2018
360,0.726010597894321,2018
364,0.827838827838828,2020
368,0.721374045801527,2018
392,0.726027397260274,2019
398,0.748148148148148,2018
400,0.509677419354839,2018
410,0.575,2018
417,0.604654720221408,2020
422,0.658536585365854,2018
458,0.36734693877551,2018
484,0.698604443862954,2018
554,0.914285714285714,2020
558,0.501449275362319,2020
566,0.677142857142857,2018
586,0.549206349206349,2018
604,0.750728935762092,2018
608,0.639178184556221,2019
630,0.368,2018
642,0.629933637311646,2018
643,0.617294442979587,2017
688,0.605263157894737,2017
702,0.3625,2020
704,0.365482233502538,2020
716,0.524344569288389,2020
762,0.711711711711712,2020
764,0.70873786407767,2018
788,0.36551724137931,2019
792,0.888888888888889,2018
804,0.685941736653692,2020
818,0.459459459459459,2018
840,0.621475129311294,2017
