"ISONum","Both1024","Both1217","Both1524","Both1517","Both1534","Both1624","Both1829","Men1524","Women1024","Women1519","Women1524","Women2024","Women1549","One"
"100",984000,416000,614000,195000,1487000,546000,810000,318000,477000,152000,296000,144000,1464000,1
"104",14677000,6005000,9831000,3054000,18363000,8822000,11181000,4907000,7336000,2532000,4924000,2392000,15084000,1
"108",3768000,1625000,2260000,758000,4121000,1996000,2488000,1128000,1883000,608000,1131000,523000,2791000,1
"112",1354000,551000,868000,272000,2334000,777000,1248000,447000,659000,215000,422000,207000,2155000,1
"116",4628000,1844000,2988000,880000,5818000,2686000,3697000,1507000,2284000,728000,1483000,755000,4511000,1
"12",9731000,3969000,5910000,1793000,13212000,5274000,7691000,3013000,4767000,1426000,2895000,1469000,10997000,1
"120",8595000,3710000,5275000,1770000,9268000,4666000,5637000,2650000,4274000,1420000,2627000,1207000,6463000,1
"124",6335000,2354000,4352000,1167000,9711000,3962000,5917000,2225000,3096000,970000,2126000,1156000,8547000,1
"132",145000,60000,95000,30000,200000,85000,117000,50000,72000,25000,47000,22000,150000,1
"140",1747000,765000,1080000,370000,1716000,954000,1068000,540000,872000,299000,540000,241000,1141000,1
"144",4881000,2048000,3160000,1015000,5919000,2819000,3551000,1574000,2444000,835000,1588000,753000,5325000,1
"148",5575000,2423000,3391000,1152000,5626000,2994000,3484000,1699000,2781000,926000,1692000,766000,3738000,1
"1500",252259000,107773000,156673000,51766000,268986000,138947000,166290000,78782000,125193000,41636000,77891000,36255000,188452000,1
"1501",852665000,349523000,555940000,172529000,1053510000,497909000,640194000,288543000,410526000,136920000,267394000,130474000,795855000,1
"1502",527197000,208771000,350093000,103418000,770196000,315455000,439454000,182128000,252291000,82400000,167966000,85566000,656216000,1
"1503",218033000,85103000,146419000,42167000,316283000,132299000,187808000,75243000,106070000,34480000,71176000,36696000,279251000,1
"1517",1379860000,558293000,906032000,275947000,1823704000,813363000,1079646000,470669000,662818000,219321000,435361000,216040000,1452071000,1
"1518",702000,288000,462000,144000,835000,414000,510000,233000,348000,118000,229000,111000,710000,1
"152",3898000,1482000,2648000,737000,5787000,2402000,3504000,1344000,1917000,612000,1303000,691000,4831000,1
"156",253761000,99401000,169499000,49243000,396227000,153015000,218245000,90376000,118037000,38240000,79124000,40884000,342282000,1
"158",3691000,1281000,2715000,690000,5953000,2497000,3642000,1413000,1771000,581000,1302000,721000,5757000,1
"1636",167371000,70611000,104844000,33978000,185659000,93226000,114421000,52864000,82831000,27353000,51981000,24628000,132316000,1
"1637",17669000,7128000,11637000,3528000,22815000,10453000,13793000,5966000,8623000,2863000,5670000,2807000,17789000,1
"170",12543000,4872000,8670000,2514000,17152000,7849000,10581000,4413000,6150000,2080000,4255000,2175000,13757000,1
"174",270000,114000,169000,55000,304000,150000,186000,86000,133000,44000,83000,39000,214000,1
"175",89000,39000,54000,18000,89000,48000,56000,28000,44000,15000,27000,12000,71000,1
"178",1733000,755000,1049000,357000,1801000,925000,1090000,526000,862000,285000,522000,237000,1329000,1
"180",28730000,12576000,17201000,5913000,28981000,15149000,17727000,8630000,14295000,4712000,8572000,3860000,20045000,1
"1829",188071000,74585000,124742000,36717000,274426000,112393000,159640000,63829000,91768000,29818000,60912000,31094000,248089000,1
"1830",159948000,63498000,107583000,32008000,211863000,96969000,128888000,54428000,78839000,26349000,53156000,26807000,173228000,1
"1832",454959000,178949000,304385000,89171000,664164000,274628000,381219000,159598000,215933000,70705000,144785000,74080000,569232000,1
"1833",134720000,54703000,86426000,26512000,173558000,77419000,103763000,44424000,65549000,21332000,42003000,20671000,131867000,1
"1835",3690000,1543000,2354000,751000,4204000,2099000,2578000,1214000,1789000,595000,1142000,547000,3099000,1
