"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Education_Resource_Educ_GDP","Education_Resource_SH_LGR_ACSRHES3","Education_Resource","Education_Agency_SE.SEC.ENRR","Education_Agency","Education_Achievement_UpperSec_Both","Education_Achievement","Education"
"Afghanistan",4,"AFG","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.21425199508667,0,0.107125997543335,0.504724544949002,0.504724544949002,0.2407906,0.2407906,0.284213713879899
"Albania",8,"ALB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.263050667444865,1,0.631525333722432,0.936448076036241,0.936448076036241,0.8031211,0.8031211,0.79036483579586
"Algeria",12,"DZA","Northern Africa","Northern Africa and Western Asia","Arab States",0.406690661112467,0.288,0.347345330556234,0.995714992947049,0.995714992947049,0.2942439,0.2942439,0.545768073955326
"Angola",24,"AGO","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.121411999066671,0,0.0607059995333353,0.451905314127604,0.451905314127604,0.1881837,0.1881837,0.233598337653382
"Antigua and Barbuda",28,"ATG","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.221441332499186,0,0.110720666249593,1,1,0.635583696608455,0.635583696608455,0.582101453703915
"Azerbaijan",31,"AZE","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.178738673528035,0.288,0.233369336764018,0.934371524386936,0.934371524386936,0.7495235,0.7495235,0.639088119744563
"Argentina",32,"ARG","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.320158004760742,0.614117647058823,0.467137825909783,1,1,0.5498767,0.5498767,0.672338174630923
"Australia",36,"AUS","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.340526008605957,0,0.170263004302979,1,1,0.8502,0.8502,0.673487667427505
"Austria",40,"AUT","Western Europe","Europe and Northern America","Non-UNFPA Country",0.348357327779134,0.763157894736842,0.555757611257988,1,1,0.8832,0.8832,0.812985869606343
"Bahamas",44,"BHS","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.167391999562581,0.614117647058823,0.390754823310702,0.743275790744358,0.743275790744358,0.635583696608455,0.635583696608455,0.589871436297967
"Bahrain",48,"BHR","Western Asia","Northern Africa and Western Asia","Arab States",0.154968007405599,0.288,0.221484003702799,0.967915768093533,0.967915768093533,0.389384152075026,0.389384152075026,0.526261307430858
"Bangladesh",50,"BGD","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.088421336809794,0.94,0.514210668404897,0.715111965603299,0.715111965603299,0.1889613,0.1889613,0.472761310863304
"Armenia",51,"ARM","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.180317338307699,1,0.590158669153849,0.8583373175727,0.8583373175727,0.6470735,0.6470735,0.69852316154366
"Barbados",52,"BRB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.286343987782796,0,0.143171993891398,1,1,0.9418844,0.9418844,0.695018797268781
"Belgium",56,"BEL","Western Europe","Europe and Northern America","Non-UNFPA Country",0.425109322865804,1,0.712554661432902,1,1,0.8618,0.8618,0.858118219619516
"Bhutan",64,"BTN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.456722672780355,0.369,0.412861336390177,0.889940897623698,0.889940897623698,0.2097946,0.2097946,0.504198944167093
