"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Gender_and_Autonomy_Resource_UpperSec_Ratio","Gender_Resource","Gender_and_Autonomy_Agency_Res_Civil","Gender_Agency","Gender_and_Autonomy_Achievement_SP_DYN_MRBF18","Gender_and_Autonomy_Achievement_violence_w_1524","Gender_Achievement","Gender"
"Afghanistan",4,"AFG","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.646791038055243,0.646791038055243,0.619,0.619,0.64625,0.333846153846154,0.490048076923077,0.585279704407494
"Albania",8,"ALB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",1,1,0.866,0.866,0.8525,0.804236142406489,0.828368071203245,0.898122689502959
"Algeria",12,"DZA","Northern Africa","Northern Africa and Western Asia","Arab States",1,1,0.387,0.387,0.9525,0.461322921661301,0.706911460830651,0.69797048624558
"Angola",24,"AGO","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.843986450990693,0.843986450990693,0.635666666666667,0.635666666666667,0.62125,0.532307692307692,0.576778846153846,0.685477320584925
"Antigua and Barbuda",28,"ATG","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.798380952380952,0.798380952380952,0.700197802197802,0.638999863137794,0.669598832667798,0.822659927526924
"Azerbaijan",31,"AZE","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.969517628862503,0.969517628862503,0.786,0.786,0.8625,0.841538461538462,0.852019230769231,0.869178952341399
"Argentina",32,"ARG","South America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.929,0.929,0.700197802197802,0.638999863137794,0.669598832667798,0.866199610023066
"Australia",36,"AUS","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",1,1,0.764,0.764,0.95218207046332,0.804236142406489,0.878209106434905,0.880736367930899
"Austria",40,"AUT","Western Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.879,0.879,0.95218207046332,0.804236142406489,0.878209106434905,0.919069701225899
"Bahamas",44,"BHS","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.798380952380952,0.798380952380952,0.700197802197802,0.638999863137794,0.669598832667798,0.822659927526924
"Bahrain",48,"BHR","Western Asia","Northern Africa and Western Asia","Arab States",0.98483783156121,0.98483783156121,0.542928571428571,0.542928571428571,0.770726686240707,0.461322921661301,0.616024803951004,0.714597068265665
"Bangladesh",50,"BGD","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.938291715798356,0.938291715798356,0.525,0.525,0.3575,0.256923076923077,0.307211538461538,0.590167750829797
"Armenia",51,"ARM","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",1,1,0.806,0.806,0.93375,0.989230769230769,0.961490384615385,0.922496793949298
"Barbados",52,"BRB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.798380952380952,0.798380952380952,0.635,0.638999863137794,0.636999931568897,0.81179362717149
"Belgium",56,"BEL","Western Europe","Europe and Northern America","Non-UNFPA Country",0.997334443981674,0.997334443981674,0.897,0.897,0.95218207046332,0.804236142406489,0.878209106434905,0.924181182548012
"Bhutan",64,"BTN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.893989175904827,0.893989175904827,0.643454545454546,0.643454545454546,0.6775,0.628483070233409,0.652991535116705,0.730145084761881
"Bolivia (Plurinational State of)",68,"BOL","South America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.873,0.873,0.75375,0.638999863137794,0.696374931568897,0.856458309666507
"Bosnia and Herzegovina",70,"BIH","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",1,1,0.829,0.829,0.95625,0.804236142406489,0.880243071203245,0.903081022831334
"Botswana",72,"BWA","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.871869495219688,0.871869495219688,0.476,0.476,0.558394730483459,0.485504742933792,0.521949736708625,0.623273076686164
"Brazil",76,"BRA","South America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.761,0.761,0.6725,0.638999863137794,0.655749931568897,0.805583309717382
"Belize",84,"BLZ","Central America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.798380952380952,0.798380952380952,0.58125,0.638999863137794,0.610124931568897,0.802835293847115
"Solomon Islands",90,"SLB","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.927558331028159,0.927558331028159,0.656833333333333,0.656833333333333,0.73375,0.215384615384615,0.474567307692308,0.686319656664947
"Brunei Darussalam",96,"BRN","South-Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",1,1,0.656833333333333,0.656833333333333,0.806185493336362,0.751494253944445,0.778839873640404,0.811891068179355
"Bulgaria",100,"BGR","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.966926842174891,0.966926842174891,0.799,0.799,0.95218207046332,0.804236142406489,0.878209106434905,0.88137864865522
"Myanmar",104,"MMR","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",1,1,0.451,0.451,0.8,0.764615384615385,0.782307692307692,0.744435896691462
"Burundi",108,"BDI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.94572275184054,0.94572275184054,0.635666666666667,0.635666666666667,0.7625,0.493846153846154,0.628173076923077,0.736520831073574
"Belarus",112,"BLR","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",1,1,0.795,0.795,0.9375,0.804236142406489,0.870868071203245,0.888622689512459
"Cambodia",116,"KHM","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.990013239178327,0.990013239178327,0.591,0.591,0.76875,0.8,0.784375,0.788462745604313
"Cameroon",120,"CMR","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.920538536400296,0.920538536400296,0.546,0.546,0.6275,0.446153846153846,0.536826923076923,0.667788485824618
