"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Politics_Resource_CollectData","Politics_Resource_YouthPolicy_Num","Politics_Resource","Politics_Agency_active_member","Politics_Agency_Vote_National","Politics_Agency","Politics_Achievement_Parliament30","Politics_Achievement","Politics"
"Afghanistan",4,"AFG","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.175925925925926,1,0.587962962962963,0.433848820790293,0.808104377263699,0.620976599026996,0.376666666666667,0.376666666666667,0.528535409023673
"Albania",8,"ALB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.273333333333333,0.273333333333333,0.512757063516682
"Algeria",12,"DZA","Northern Africa","Northern Africa and Western Asia","Arab States",0.443681715110286,0,0.221840857555143,0.0623052959501558,0.418300653594771,0.240302974772463,0.0924493325750226,0.0924493325750226,0.184864388116012
"Angola",24,"AGO","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.567652977211801,1,0.7838264886059,0.522447439313902,0.538775556075554,0.530611497694728,0.0373333333333333,0.0373333333333333,0.450590439427397
"Antigua and Barbuda",28,"ATG","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.527800521285668
"Azerbaijan",31,"AZE","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.443681715110286,1,0.721840857555143,0.064874497083313,0.431030242282311,0.247952369682812,0.0924493325750226,0.0924493325750226,0.354080852916912
"Argentina",32,"ARG","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,0,0.258035560118893,0.181602645227181,0.779006718783051,0.480304682005116,0.13,0.13,0.289446747085223
"Australia",36,"AUS","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.437233521241182,0.784813721484816,0.611023621362999,0,0,0.448285525425856
"Austria",40,"AUT","Western Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.51,0.51,0.591645952326681
"Bahamas",44,"BHS","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,0.5,0.508035560118893,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.444467188035668
"Bahrain",48,"BHR","Western Asia","Northern Africa and Western Asia","Arab States",0.443681715110286,0.4,0.421840857555143,0.133056512762734,0.568157040821949,0.350606776792341,0.166666666666667,0.166666666666667,0.313038100025012
"Bangladesh",50,"BGD","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.42962962962963,1,0.714814814814815,0.21551724137931,0.754310344827586,0.484913793103448,0.0193333333333333,0.0193333333333333,0.406353980010845
"Armenia",51,"ARM","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.340740740740741,1,0.67037037037037,0.041503679639367,0.586563128337116,0.314033403988241,0.808,0.808,0.597467924188736
"Barbados",52,"BRB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.527800521285668
"Belgium",56,"BEL","Western Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.222,0.222,0.495645952422682
"Bhutan",64,"BTN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.606837606837607,1,0.803418803418803,0.433848820790293,0.808104377263699,0.620976599026996,0.0688860267919865,0.0688860267919865,0.497760475914835
"Bolivia (Plurinational State of)",68,"BOL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.384615384615385,0.87037037037037,0.627492877492877,0.53306613226453,0.735470941883767,0.634268537074149,0.354145485330044,0.354145485330044,0.538635632760388
"Bosnia and Herzegovina",70,"BIH","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.467665912518854,0,0.233832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0,0,0.254979285996682
"Botswana",72,"BWA","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.567652977211801,1,0.7838264886059,0.522447439313902,0.538775556075554,0.530611497694728,0,0,0.438145994995397
"Brazil",76,"BRA","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.17480450109799,0.589919214133766,0.382361857615878,0.354145485330044,0.354145485330044,0.498180967190091
"Belize",84,"BLZ","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.527800521285668
"Solomon Islands",90,"SLB","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.521367521367521,1,0.760683760683761,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.353134634369607
"Brunei Darussalam",96,"BRN","South-Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.393608706108706,1,0.696804353054353,0.274537333096086,0.322902953872844,0.298720143484465,0.147551434756124,0.147551434756124,0.381025310050622
"Bulgaria",100,"BGR","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.167333333333333,0.167333333333333,0.477423730218682
"Myanmar",104,"MMR","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.388888888888889,0,0.194444444444444,0.643564356435644,0.133663366336634,0.388613861386139,0.0153333333333333,0.0153333333333333,0.199463879521842
"Burundi",108,"BDI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.581196581196581,1,0.790598290598291,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.461593918690892
"Belarus",112,"BLR","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.467665912518854,1,0.733832956259427,0.181969783141466,0.682925247918786,0.432447515530126,0.121333333333333,0.121333333333333,0.429204601278424
"Cambodia",116,"KHM","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.345679012345679,1,0.672839506172839,0.274537333096086,0.322902953872844,0.298720143484465,0.147551434756124,0.147551434756124,0.373037027764773
"Cameroon",120,"CMR","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.515873015873016,1,0.757936507936508,0.522447439313902,0.538775556075554,0.530611497694728,0.074,0.074,0.454182668089563
"Canada",124,"CAN","Northern America","Europe and Northern America","Non-UNFPA Country",0.467665912518854,0,0.233832956259427,0.621451239295426,0.73337456155515,0.677412900425288,0.179283684441519,0.179283684441519,0.363509846678568
"Cabo Verde",132,"CPV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.567652977211801,1,0.7838264886059,0.522447439313902,0.538775556075554,0.530611497694728,0,0,0.438145994995397
"Central African Republic",140,"CAF","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.427350427350427,0.5,0.463675213675214,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.352619559825508
"Sri Lanka",144,"LKA","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.581196581196581,1,0.790598290598291,0.433848820790293,0.808104377263699,0.620976599026996,0.0688860267919865,0.0688860267919865,0.493486971645604
"Chad",148,"TCD","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.296296296296296,0,0.148148148148148,0.522447439313902,0.538775556075554,0.530611497694728,0,0,0.226253215054705
"Chile",152,"CHL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.0958476424623674,0.346501830229849,0.221174736346108,0.559333333333333,0.559333333333333,0.512847876086597
