"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","SRH_Empowerment_Resource_ProviderDisc","SRH_Empowerment_Resource_SH_LGR_ACSRHES1","SRH_Empowerment_Resource_SH_LGR_ACSRHES2","SRH_Empowerment_Resource_SH_LGR_ACSRHES4","SRH_Resource","SRH_Empowerment_Agency_DS_1524","SRH_Empowerment_Agency_fert_know_m","SRH_Empowerment_Agency_fert_know_w","SRH_Empowerment_Agency_HIVKnow_m_1524","SRH_Empowerment_Agency_HIVKnow_w_1524","SRH_Empowerment_Agency_knows_ltm_stm_m","SRH_Empowerment_Agency_knows_ltm_stm_w","SRH_Agency","SRH_Empowerment_Achievement_ASFR15","SRH_Empowerment_Achievement_HIV","SRH_Empowerment_Achievement_SH_STA_MORT","SRH_Achievement","SRH"
"Afghanistan",4,"AFG","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.504273504273504,0.73,0.37,0.75,0.588568376068376,0.584380349593819,0.0602827793530251,0.0726612627760175,0.063,0.01,0.60378900373655,0.677710894891725,0.332025579993119,0.65521508992,0.995,0.445217391304348,0.698477493042972,0.539690482495132
"Albania",8,"ALB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.297729700854701,0.82,0.85,0.7,0.666932425213675,0.0826666666666667,0.0695617672989179,0.201160813975897,0.201,0.351,0.507889694409371,0.771120238102284,0.283383230889975,0.90178993,0.998,0.98695652173913,0.962248816284128,0.637521490158405
"Algeria",12,"DZA","Northern Africa","Northern Africa and Western Asia","Arab States",0.327382881668596,0.629,0.695454545454545,0.695,0.586709356780785,0.663327430972389,0.0721108755618755,0.212456375388281,0.0746671916010499,0.0542868820852934,0.8340519802158,0.922671287264443,0.43711243175769,0.94964511,0.996,0.902608695652174,0.949417934267973,0.65774657361107
"Angola",24,"AGO","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.335002047747146,0.65,1,0.75,0.683750511936786,0.421333333333333,0.0511487503317228,0.136160745743872,0.316,0.325,0.48605407788473,0.528336117935156,0.335670794820268,0.24737005,0.848,0.790434782608696,0.628601610240964,0.549340971783332
"Antigua and Barbuda",28,"ATG","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.33,0.75,0.540031658156658,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.78609,0.979435721707161,0.963478260869565,0.909667993282574,0.669305877442478
"Azerbaijan",31,"AZE","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.327382881668596,0.629,0.695454545454545,0.695,0.586709356780785,0.226666666666667,0.0431708800183034,0.154168558881962,0.053,0.048,0.221341946921984,0.501725670441144,0.184342548699591,0.72080995825,0.994,0.977391304347826,0.897400419968542,0.556150774593488
"Argentina",32,"ARG","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.6860899756,0.984,0.966086956521739,0.878725643161854,0.685373500915583
"Australia",36,"AUS","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.297729700854701,0.81,0.93,0.75,0.696932425213675,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.94142506568,0.998,0.994782608695652,0.978069223813815,0.741402810037282
"Austria",40,"AUT","Western Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.9632999646,0.988663450574511,0.995652173913044,0.982538528713313,0.745458715899196
"Bahamas",44,"BHS","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.849995024,0.979435721707161,0.939130434782609,0.922853725907069,0.700082861815945
