"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Safety_and_Security_Resource_INFORM","Safety_Resource","Safety_and_Security_Agency_humanrights","Safety_and_Security_Agency_pol_part","Safety_Agency","Safety_and_Security_Achievement_Displacement","Safety_and_Security_Achievement_InterViolence","Safety_and_Security_Achievement_SelfHarm","Safety_Achievement","Safety"
"Afghanistan",4,"AFG","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.18,0.18,0.706488655940247,0.301409689467436,0.503949172703842,0.739709446161998,0.756982883274449,0.929343056164083,0.808678461058165,0.497542544089793
"Albania",8,"ALB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.71,0.71,0.608079956143569,0.444369177422319,0.526224566782944,0.996216897856242,0.964823084565954,0.881792101540252,0.947610693706539,0.727945086101882
"Algeria",12,"DZA","Northern Africa","Northern Africa and Western Asia","Arab States",0.6,0.6,0.700315457413249,0.231481481481481,0.465898469447365,0.99990678356176,0.977362349731803,0.925492625052334,0.967587251814378,0.677828573076086
"Angola",24,"AGO","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.49,0.49,0.540528334391958,0.217637547312259,0.379082940852109,0.998505081347078,0.934881562162418,0.922529319524022,0.951971986725867,0.60701830858564
"Antigua and Barbuda",28,"ATG","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.79,0.79,0.415123279914856,0.333297885554918,0.374210582734887,0.94946364518161,0.893682958038267,0.957720726488406,0.933622442302472,0.699277674313175
"Azerbaijan",31,"AZE","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.42,0.42,0.746849439348577,0.073733253516643,0.41029134643261,0.970372325297161,0.940912429194182,0.941563418056978,0.950949389898491,0.59374691151662
"Argentina",32,"ARG","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.69,0.69,0.478529980190349,0.201109288152923,0.339819634171636,0.99999439036077,0.862917041510755,0.746555477078707,0.869822302113588,0.633213978128528
"Australia",36,"AUS","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.77,0.77,0.700176743964849,0.759890147789075,0.730033445876962,0.999994657597404,0.98229628873545,0.81320194291897,0.931830962152111,0.810621468532403
"Austria",40,"AUT","Western Europe","Europe and Northern America","Non-UNFPA Country",0.83,0.83,0.608079956143569,0.444369177422319,0.526224566782944,1,0.990535374986803,0.853029592184161,0.947854988109133,0.768026517529332
"Bahamas",44,"BHS","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.77,0.77,0.415123279914856,0.333297885554918,0.374210582734887,0.996892962560199,0.496735338234064,0.964878725337744,0.8195023412245,0.654570973998558
"Bahrain",48,"BHR","Western Asia","Northern Africa and Western Asia","Arab States",0.88,0.88,0.45117503717855,0.163664346248988,0.307419691713769,0.999559681502954,0.969933479455649,0.919482418076023,0.962991858715217,0.716803849426192
"Bangladesh",50,"BGD","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.4,0.4,0.78125,0.103448275862069,0.442349137931034,0.999981151705535,0.951431938615513,0.903502063686839,0.951638383717657,0.597995839951568
"Armenia",51,"ARM","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.49,0.49,0.26647226272375,0.0969854044462404,0.181728833584995,0.995482742166375,0.946892198161796,0.914239479141815,0.952204805537791,0.541311212499617
"Barbados",52,"BRB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.81,0.81,0.415123279914856,0.333297885554918,0.374210582734887,1,0.788161907578085,0.95472694853646,0.914296284457219,0.699502288364533
"Belgium",56,"BEL","Western Europe","Europe and Northern America","Non-UNFPA Country",0.83,0.83,0.608079956143569,0.444369177422319,0.526224566782944,1,0.985880889719072,0.852279998902851,0.946053628594588,0.767426064358418
"Bhutan",64,"BTN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.68,0.68,0.706488655940247,0.301409689467436,0.503949172703842,0.981044511112472,0.981872482638326,0.930295881108279,0.964404290655288,0.716117820403592
"Bolivia (Plurinational State of)",68,"BOL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.54,0.54,0.574898785425101,0.204408817635271,0.389653801530186,1,0.897845741797944,0.870320379110002,0.922722039379927,0.617458613019246
"Bosnia and Herzegovina",70,"BIH","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.63,0.63,0.608079956143569,0.444369177422319,0.526224566782944,0.998666509785465,0.96366409204569,0.873020078611999,0.945116892535935,0.700447152405846
"Botswana",72,"BWA","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.69,0.69,0.540528334391958,0.217637547312259,0.379082940852109,0.99989410967414,0.688723353479567,0.789193497668569,0.825936986114822,0.631673308357304
"Brazil",76,"BRA","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.51,0.51,0.440364388096202,0.479970886645648,0.460167637370925,0.999994741502174,0.219588733086104,0.903765034780772,0.707782835748567,0.559316823813847
"Belize",84,"BLZ","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.59,0.59,0.415123279914856,0.333297885554918,0.374210582734887,1,0.529702476302075,0.913264601914567,0.814322358591225,0.592844313182526
"Solomon Islands",90,"SLB","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.54,0.54,0.881394958152483,0.166046415324419,0.523720686738451,1,0.91036033560448,0.472810420312256,0.794390251177855,0.619370312019398
"Brunei Darussalam",96,"BRN","South-Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.83,0.83,0.881394958152483,0.166046415324419,0.523720686738451,1,0.985532165971017,0.93838855802856,0.974640240358552,0.776120308256214
"Bulgaria",100,"BGR","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.74,0.74,0.608079956143569,0.444369177422319,0.526224566782944,0.99997602568129,0.973836544617143,0.88376693183785,0.952526499759568,0.73958368810792
"Myanmar",104,"MMR","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.37,0.37,0.767326732673267,0.0742574257425743,0.420792079207921,0.93759918330165,0.973290337196281,0.928988371867035,0.946625963175029,0.579139346881844
"Burundi",108,"BDI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.4,0.4,0.540528334391958,0.217637547312259,0.379082940852109,0.929835680635618,0.978171618021709,0.90504838859721,0.93768522814716,0.572256055760834
"Belarus",112,"BLR","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.81,0.81,0.648143040467486,0.444369177422319,0.546256108944902,0.99979686040501,0.95319387436507,0.799486638875769,0.917492456964457,0.757916187878537
"Cambodia",116,"KHM","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.52,0.52,0.881394958152483,0.166046415324419,0.523720686738451,0.999920851035686,0.937959146631348,0.918567303250631,0.952149099353739,0.665289928032107
"Cameroon",120,"CMR","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.39,0.39,0.540528334391958,0.217637547312259,0.379082940852109,0.995063751785859,0.941765453828878,0.911890223261303,0.949573142009107,0.572885360380853
"Canada",124,"CAN","Northern America","Europe and Northern America","Non-UNFPA Country",0.76,0.76,0.840259125341714,0.752644019088602,0.796451572215158,0.999994052693981,0.96908592861273,0.808264563711415,0.925781514080261,0.827411027937729
"Cabo Verde",132,"CPV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.79,0.79,0.540528334391958,0.217637547312259,0.379082940852109,1,0.7461051668742,0.884493821706621,0.876866328650074,0.681983089152078
"Central African Republic",140,"CAF","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.22,0.22,0.540528334391958,0.217637547312259,0.379082940852109,0.538668171793504,0.848958345889635,0.865692277580883,0.751106264336901,0.450063067946274
"Sri Lanka",144,"LKA","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.62,0.62,0.706488655940247,0.301409689467436,0.503949172703842,0.999572405720587,0.94774903790026,0.68463745279428,0.877319631261056,0.667089600654543
"Chad",148,"TCD","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.21,0.21,0.540528334391958,0.217637547312259,0.379082940852109,0.95903906714587,0.873552457464244,0.916152074033853,0.916247865298408,0.501776934881729
"Chile",152,"CHL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.63,0.63,0.324191422328657,0.224437656643592,0.274314539486124,0.999993249346199,0.911094153151529,0.8212110242508,0.910766141338743,0.605026893003262
"China",156,"CHN","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.58,0.58,0.922264878997669,0.1503328052852,0.536298842141435,0.999995030279781,0.987191568898954,0.928961739629289,0.972049445297292,0.696116095116793
