"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Index","Economics","Education","Gender","Politics","Safety","SRH","Economics_Achievement","Economics_Agency","Economics_Resource","Education_Achievement","Education_Agency","Education_Resource","Gender_Achievement","Gender_Agency","Gender_Resource","Politics_Achievement","Politics_Agency","Politics_Resource","Safety_Achievement","Safety_Agency","Safety_Resource","SRH_Achievement","SRH_Agency","SRH_Resource","Indicator_N"
"Afghanistan",4,"AFG","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.47738591182856,0.562145344524941,0.284213713879899,0.585279704407494,0.528535409023673,0.497542544089793,0.481344669997238,0.392613420915291,0.905678703623001,0.388143910722967,0.2407906,0.504724544949002,0.107125997543335,0.490048076923077,0.619,0.646791038055243,0.376666666666667,0.620976599026996,0.587962962962963,0.808678461058165,0.503949172703842,0.18,0.698477493042972,0.156988142324401,0.588568376068376,34
"Albania",8,"ALB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.702552567943271,0.791214120989133,0.79036483579586,0.898122689502959,0.512757063516682,0.727945086101882,0.573595024028639,0.580180561981673,0.954880337531283,0.838581465828085,0.8031211,0.936448076036241,0.631525333722432,0.828368071203245,0.866,1,0.273333333333333,0.531104902495556,0.733832956259427,0.947610693706539,0.526224566782944,0.71,0.962248816284128,0.0916038323088998,0.666932425213675,31
"Algeria",12,"DZA","Northern Africa","Northern Africa and Western Asia","Arab States",0.521607016398824,0.735658049978567,0.545768073955326,0.69797048624558,0.184864388116012,0.677828573076086,0.573543339810019,0.5976019453002,0.868308795462326,0.741063411380149,0.2942439,0.995714992947049,0.347345330556234,0.706911460830651,0.387,1,0.0924493325750226,0.240302974772463,0.221840857555143,0.967587251814378,0.465898469447365,0.6,0.949417934267973,0.184502730101928,0.586709356780785,23
"Angola",24,"AGO","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.475213875883566,0.526159175388247,0.233598337653382,0.685477320584925,0.450590439427397,0.60701830858564,0.499770859542213,0.458217592275922,0.611827139430804,0.508432796036493,0.1881837,0.451905314127604,0.0607059995333353,0.576778846153846,0.635666666666667,0.843986450990693,0.0373333333333333,0.530611497694728,0.7838264886059,0.951971986725867,0.379082940852109,0.49,0.628601610240964,0.186960457948203,0.683750511936786,29
"Antigua and Barbuda",28,"ATG","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.650014078293082,0.733163575287773,0.582101453703915,0.822659927526924,0.527800521285668,0.699277674313175,0.582099454694432,0.588422896555718,0.869358224887103,0.741709606619988,0.635583696608455,1,0.110720666249593,0.669598832667798,0.798380952380952,1,0.354145485330044,0.471220519991469,0.758035560118893,0.933622442302472,0.374210582734887,0.79,0.909667993282574,0.296598714390362,0.540031658156658,11
"Azerbaijan",31,"AZE","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.57879948261594,0.621313897984377,0.639088119744563,0.869178952341399,0.354080852916912,0.59374691151662,0.51818398356059,0.570225952676295,0.563782254981821,0.729933488158955,0.7495235,0.934371524386936,0.233369336764018,0.852019230769231,0.786,0.969517628862503,0.0924493325750226,0.247952369682812,0.721840857555143,0.950949389898491,0.41029134643261,0.42,0.897400419968542,0.0704421754869959,0.586709356780785,31
"Argentina",32,"ARG","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.5935060892616,0.684547591519213,0.672338174630923,0.866199610023066,0.289446747085223,0.633213978128528,0.598167078167536,0.602941519724298,0.87416535746352,0.576535899423464,0.5498767,1,0.467137825909783,0.669598832667798,0.929,1,0.13,0.480304682005116,0.258035560118893,0.869822302113588,0.339819634171636,0.69,0.878725643161854,0.296598714390362,0.619176878744893,25
"Australia",36,"AUS","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.704569602582724,0.876592596739981,0.673487667427505,0.880736367930899,0.448285525425856,0.810621468532403,0.647436561138865,0.639292560506872,1,0.990485232342848,0.8502,1,0.170263004302979,0.878209106434905,0.764,1,0,0.611023621362999,0.733832956259427,0.931830962152111,0.730033445876962,0.77,0.978069223813815,0.267308036331415,0.696932425213675,27
"Austria",40,"AUT","Western Europe","Europe and Northern America","Non-UNFPA Country",0.757417894664618,0.85356070099269,0.812985869606343,0.919069701225899,0.591645952326681,0.768026517529332,0.651492467000779,0.644541242310665,0.970579364173648,0.945561499054439,0.8832,1,0.555757611257988,0.878209106434905,0.879,1,0.51,0.531104902495556,0.733832956259427,0.947854988109133,0.526224566782944,0.83,0.982538528713313,0.267308036331415,0.704630837912088,17
"Bahamas",44,"BHS","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.632307782181693,0.738625126706473,0.589871436297967,0.822659927526924,0.444467188035668,0.654570973998558,0.612876439067898,0.598634711328204,0.869358224887103,0.747882446119988,0.635583696608455,0.743275790744358,0.390754823310702,0.669598832667798,0.798380952380952,1,0.354145485330044,0.471220519991469,0.508035560118893,0.8195023412245,0.374210582734887,0.77,0.922853725907069,0.296598714390362,0.619176878744893,11
"Bahrain",48,"BHR","Western Asia","Northern Africa and Western Asia","Arab States",0.57829337466284,0.76272163144811,0.526261307430858,0.714597068265665,0.313038100025012,0.716803849426192,0.581116274921992,0.551008858365545,0.871008993678551,0.866147044588398,0.389384152075026,0.967915768093533,0.221484003702799,0.616024803951004,0.542928571428571,0.98483783156121,0.166666666666667,0.350606776792341,0.421840857555143,0.962991858715217,0.307419691713769,0.88,0.972136739626611,0.184502730101928,0.586709356780785,12
"Bangladesh",50,"BGD","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.522705747934403,0.668279124681575,0.472761310863304,0.590167750829797,0.406353980010845,0.597995839951568,0.45015873014891,0.557191485734295,0.900558759998158,0.54708713031711,0.1889613,0.715111965603299,0.514210668404897,0.307211538461538,0.525,0.938291715798356,0.0193333333333333,0.484913793103448,0.714814814814815,0.951638383717657,0.442349137931034,0.4,0.808273256942727,0.182837855489399,0.359365079365079,35
"Armenia",51,"ARM","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.676106712573738,0.74435469146463,0.69852316154366,0.922496793949298,0.597467924188736,0.541311212499617,0.615749775998321,0.5627352786684,0.987031320864074,0.68329747709448,0.6470735,0.8583373175727,0.590158669153849,0.961490384615385,0.806,1,0.808,0.314033403988241,0.67037037037037,0.952204805537791,0.181728833584995,0.49,0.954647094551295,0.166768901957585,0.725833333333333,39
"Barbados",52,"BRB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.660322744068625,0.701554756410244,0.695018797268781,0.81179362717149,0.527800521285668,0.699502288364533,0.567250414440375,0.598534711328304,0.869358224887103,0.636771335119988,0.9418844,1,0.143171993891398,0.636999931568897,0.798380952380952,1,0.354145485330044,0.471220519991469,0.758035560118893,0.914296284457219,0.374210582734887,0.81,0.931257236112221,0.296598714390362,0.473895294520295,19
"Belgium",56,"BEL","Western Europe","Europe and Northern America","Non-UNFPA Country",0.749711355464967,0.869852059801887,0.858118219619516,0.924181182548012,0.495645952422682,0.767426064358418,0.676716527721998,0.637207908984665,0.975241707360991,0.99710656566956,0.8618,1,0.712554661432902,0.878209106434905,0.897,0.997334443981674,0.222,0.531104902495556,0.733832956259427,0.946053628594588,0.526224566782944,0.83,0.987020234762165,0.267308036331415,0.775821314102564,21
"Bhutan",64,"BTN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.588570409919478,0.583663015128952,0.504198944167093,0.730145084761881,0.497760475914835,0.716117820403592,0.542765686575691,0.564827338439082,0.668152290426034,0.518009418272728,0.2097946,0.889940897623698,0.412861336390177,0.652991535116705,0.643454545454546,0.893989175904827,0.0688860267919865,0.620976599026996,0.803418803418803,0.964404290655288,0.503949172703842,0.68,0.910004690516358,0.203137248183889,0.515155122655123,16
"Bolivia (Plurinational State of)",68,"BOL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.662890483611864,0.737011503182074,0.70455466624417,0.856458309666507,0.538635632760388,0.617458613019246,0.573657378157615,0.612140135442282,0.80870939438911,0.790184981925864,0.7619,0.888674672444661,0.463089328401512,0.696374931568897,0.873,1,0.354145485330044,0.634268537074149,0.627492877492877,0.922722039379927,0.389653801530186,0.54,0.844905796256543,0.198391593319511,0.677674746617761,31
"Bosnia and Herzegovina",70,"BIH","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.622613523663558,0.673003395929109,0.82595008278353,0.903081022831334,0.254979285996682,0.700447152405846,0.64973049448353,0.597613895297573,0.792853928470639,0.628542366038124,0.9306007,1,0.547249550828441,0.880243071203245,0.829,1,0,0.531104902495556,0.233832956259427,0.945116892535935,0.526224566782944,0.63,0.97725261115628,0.267308036331415,0.704630837912088,18
