"ISONum","active_member","active_member_Year"
12,0.0311526479750779,2014
31,0.0324372485416565,2011
51,0.0207518398196835,2011
112,0.0909848915707329,2011
233,0.0370822558622328,2011
268,0.0116279069767442,2014
275,0.13135593220339,2013
288,0.222239651306763,2012
332,0.0494186046511628,2016
356,0.223376623376623,2012
434,0.223707572978091,2014
504,0.0331491712707182,2011
528,0.045045045045045,2012
616,0.159567600930707,2012
646,0.353333333333333,2012
705,0.155339805825243,2011
710,0.217345724413798,2013
724,0.0374875492294582,2011
752,0.114597335218683,2011
780,0.195652173913043,2010
858,0.0555555555555556,2011
860,0.0115384615384615,2011
887,0.075,2014
20,0.142857142857143,2018
32,0.0908013226135905,2017
36,0.218616760620591,2018
50,0.107758620689655,2018
68,0.266533066132265,2017
76,0.0874022505489949,2018
104,0.321782178217822,2020
124,0.310725619647713,2020
152,0.0479238212311837,2018
156,0.047299760165391,2018
158,0.0637279884065382,2019
170,0.219178082191781,2018
196,0.159936702433895,2019
218,0.203187250996016,2018
231,0.2421875,2020
276,0.123076923076923,2018
300,0.0346434021574478,2017
320,0.19438444924406,2020
344,0.101199547372131,2018
360,0.394386057325931,2018
364,0.307692307692308,2020
368,0.213740458015267,2018
392,0.0136986301369863,2019
398,0.0666666666666667,2018
400,0.0580645161290323,2018
410,0.0666666666666667,2018
417,0.0737150753834697,2020
422,0.0780487804878049,2018
446,0.0851063829787234,2020
458,0.275510204081633,2018
484,0.191639903829074,2018
554,0.285714285714286,2020
558,0.263768115942029,2020
566,0.288571428571429,2018
586,0.266666666666667,2018
604,0.0918079525445359,2018
608,0.238001829621574,2019
630,0.28,2018
642,0.0694976839490323,2018
643,0.0662490247921934,2017
688,0.114035087719298,2017
702,0.15,2020
704,0.0862944162436548,2020
716,0.202247191011236,2020
762,0.346846846846847,2020
764,0.310679611650485,2018
788,0.0758620689655172,2019
792,0.029810298102981,2018
804,0.0925883313950865,2020
818,0.0378378378378378,2018
840,0.299318890857835,2017
